frequency,real,img,mag,phase,,,,
0.964,-0.009821595,0.004773279,0.01092007,2.689209021,,,,
0.968,-0.009057583,0.003852189,0.009842722,2.739467997,,,,
0.972,-0.008190796,0.003007166,0.008725376,2.789731025,,,,
0.976,-0.007228811,0.002248805,0.007570524,2.839993633,,,,
0.98,-0.006180098,0.001586845,0.006380571,2.890255293,,,,
0.984,-0.005054249,0.00103018,0.005158169,2.940522312,,,,
0.988,-0.003861672,0.000586793,0.003906,2.990793083,,,,
0.992,-0.002613696,0.000263653,0.00262696,3.041058927,,,,
0.996,-0.001322264,6.65084E-05,0.001323936,3.09133615,,,,
1,-2.7593E-08,3.64926E-09,2.78333E-08,3.010102609,,,,
1.004,0.001339961,6.74484E-05,0.001341658,0.0502936,,,,
1.008,0.002684273,0.000270814,0.002697899,0.100548887,,,,
1.012,0.004019233,0.000610762,0.004065374,0.150806205,,,,
1.016,0.005331168,0.001086402,0.005440737,0.201030524,,,,
1.02,0.006606201,0.001696198,0.006820482,0.251329362,,,,
1.024,0.007830968,0.002436071,0.008201128,0.301592217,,,,
1.028,0.008992303,0.003301446,0.0095792,0.351863143,,,,
1.032,0.01007755,0.004285858,0.010951054,0.402114259,,,,
1.036,0.011074551,0.005382194,0.012313151,0.452382282,,,,
1.04,0.011971828,0.00658157,0.013661689,0.502654907,,,,
1.044,0.012758993,0.007873909,0.01499301,0.55291721,,,,
1.048,0.013426718,0.009248596,0.016303781,0.603183328,,,,
1.052,0.013966377,0.010693519,0.017590084,0.653449438,,,,
1.056,0.01437073,0.012195826,0.018848238,0.703714057,,,,
1.06,0.014633898,0.013742068,0.020074745,0.753979443,,,,
1.064,0.014751257,0.015318047,0.021265986,0.804245409,,,,
1.068,0.0147196,0.016909111,0.0224184,0.854513323,,,,
1.072,0.014537437,0.018500289,0.023528658,0.904777097,,,,
1.076,0.014204414,0.020076376,0.024593215,0.955041978,,,,
1.08,0.013721827,0.02162206,0.025608632,1.005307985,,,,
1.084,0.013092677,0.023122329,0.026571795,1.055573967,,,,
1.088,0.012321348,0.024562179,0.027479379,1.105838341,,,,
1.092,0.011413752,0.025927374,0.028328474,1.156105051,,,,
1.096,0.010377336,0.027203864,0.029115964,1.206369339,,,,
1.1,0.009220848,0.028378604,0.029839055,1.256634491,,,,
1.104,0.007954434,0.029439296,0.030495003,1.306900123,,,,
1.108,0.006589531,0.030374716,0.031081269,1.357165352,,,,
1.112,0.00513866,0.031174492,0.03159517,1.407429955,,,,
1.116,0.003615411,0.031830079,0.032034749,1.457696329,,,,
1.12,0.002034362,0.0323337,0.032397636,1.507961454,,,,
1.124,0.000410754,0.032679327,0.032681908,1.558227757,,,,
1.128,-0.001239377,0.032862337,0.0328857,1.608492676,,,,
1.132,-0.002899693,0.03287987,0.033007485,1.658759274,,,,
1.136,-0.004553296,0.032730575,0.033045772,1.709023653,,,,
1.14,-0.006183384,0.032414847,0.032999342,1.759289539,,,,
1.144,-0.007772955,0.031934779,0.032867141,1.809554523,,,,
1.148,-0.0093053,0.03129406,0.032648229,1.859820492,,,,
1.152,-0.010763984,0.030498235,0.032342011,1.910086062,,,,
1.156,-0.012133181,0.029554615,0.031948229,1.960350824,,,,
1.16,-0.013397682,0.028471738,0.031466454,2.010616382,,,,
1.164,-0.014543135,0.027259944,0.03089672,2.060882133,,,,
1.168,-0.015556264,0.025931105,0.030239371,2.111147792,,,,
1.172,-0.016424825,0.024498233,0.029494716,2.161413164,,,,
1.176,-0.01713804,0.022975789,0.028663554,2.211679443,,,,
1.18,-0.017686346,0.021379261,0.027746705,2.26194346,,,,
1.184,-0.018061999,0.019725113,0.02674539,2.31221014,,,,
1.188,-0.018258552,0.018030672,0.025660862,2.362473978,,,,
1.192,-0.01827165,0.016313857,0.024494798,2.412741461,,,,
1.196,-0.018098432,0.014593294,0.023249031,2.46300433,,,,
1.2,-0.017738148,0.012887608,0.021925609,2.513270838,,,,
1.204,-0.01719155,0.011215841,0.020526677,2.563529097,,,,
1.208,-0.016461893,0.009596509,0.019054839,2.613802054,,,,
1.212,-0.0155536,0.00804859,0.017512689,2.664063462,,,,
1.216,-0.01447364,0.006590044,0.0159033,2.714328782,,,,
1.22,-0.013230282,0.005238939,0.014229788,2.764555791,,,,
1.224,-0.01183416,0.004010208,0.012495163,2.814869968,,,,
1.228,-0.010297034,0.002921531,0.01070347,2.86513264,,,,
1.232,-0.008632513,0.001986579,0.008858148,2.9154031,,,,
1.236,-0.006855651,0.001218706,0.006963131,2.965663769,,,,
1.24,-0.004982942,0.000629488,0.005022546,3.015929667,,,,
1.244,-0.003032015,0.000229033,0.003040653,3.066197776,,,,
1.248,-0.001021548,2.57101E-05,0.001021871,3.116430124,,,,
1.252,0.001029074,2.60974E-05,0.001029405,0.025354607,,,,
1.256,0.003099015,0.000234133,0.003107847,0.075407375,,,,
1.26,0.00516818,0.000652923,0.00520926,0.125669338,,,,
1.264,0.007215077,0.001282681,0.007328206,0.175939713,,,,
1.268,0.009218932,0.002121588,0.009459907,0.226195419,,,,
1.272,0.011158467,0.003165945,0.011598904,0.276460292,,,,
1.276,0.013013108,0.004409701,0.013739958,0.326721716,,,,
1.28,0.014762724,0.005844972,0.015877711,0.376990914,,,,
1.284,0.016387968,0.007461592,0.018006689,0.427260257,,,,
1.288,0.017870422,0.009247238,0.020121218,0.477518256,,,,
1.292,0.019192872,0.011188378,0.022215898,0.52778425,,,,
1.296,0.02033953,0.013269236,0.024285162,0.578051094,,,,
1.3,0.021296014,0.01547235,0.026323257,0.628315147,,,,
1.304,0.022049709,0.017779063,0.028324631,0.678581125,,,,
1.308,0.022589355,0.020167857,0.030282361,0.728824925,,,,
1.312,0.022907692,0.022621479,0.032194622,0.779111884,,,,
1.316,0.022996412,0.025113735,0.03405194,0.829379671,,,,
1.32,0.022852129,0.027623332,0.035850639,0.879643327,,,,
1.324,0.022472054,0.030126496,0.037584558,0.929909461,,,,
1.328,0.021856713,0.032599717,0.039248662,0.980174128,,,,
1.332,0.021008525,0.035019258,0.040837563,1.030440444,,,,
1.336,0.019932569,0.037361586,0.042346139,1.080705865,,,,
1.34,0.018636149,0.03960362,0.043769313,1.130971298,,,,
1.344,0.017128928,0.04172293,0.045102141,1.181236975,,,,
1.348,0.01542291,0.043697986,0.046339833,1.231501846,,,,
1.352,0.013532163,0.045508389,0.04747771,1.281767571,,,,
1.356,0.011472961,0.04713537,0.048511565,1.332034757,,,,
1.36,0.009263604,0.048560941,0.04943662,1.382298596,,,,
1.364,0.00692396,0.049769863,0.050249184,1.432564042,,,,
1.368,0.004475752,0.050747498,0.050944488,1.482827441,,,,
1.372,0.001941929,0.051484872,0.051521482,1.533095754,,,,
1.376,-0.00065299,0.051970015,0.051974117,1.58336042,,,,
1.38,-0.003283828,0.052196934,0.052300129,1.633625808,,,,
1.384,-0.005924444,0.052161292,0.052496661,1.683890991,,,,
1.388,-0.008548256,0.051861239,0.05256102,1.734156847,,,,
1.392,-0.011128332,0.051297819,0.052491008,1.784421999,,,,
1.396,-0.013637777,0.050474201,0.052284166,1.834688051,,,,
1.4,-0.016049916,0.049396981,0.051939018,1.884953094,,,,
1.404,-0.01833877,0.048075275,0.051454276,1.935218049,,,,
1.408,-0.020479055,0.046520504,0.050828623,1.985483879,,,,
1.412,-0.022446397,0.044746754,0.05006109,2.035748556,,,,
1.416,-0.02421805,0.042770686,0.049151251,2.086014818,,,,
1.42,-0.025772592,0.040611345,0.048098937,2.136280346,,,,
1.424,-0.027090679,0.038290089,0.046904539,2.186545799,,,,
1.428,-0.028154804,0.035829958,0.045568398,2.236812055,,,,
1.432,-0.028949725,0.033256086,0.044091426,2.287077139,,,,
1.436,-0.029462752,0.03059528,0.042474991,2.337339487,,,,
1.44,-0.029683668,0.027874959,0.040720185,2.387607926,,,,
1.444,-0.029605205,0.025124929,0.038829502,2.437873591,,,,
1.448,-0.029222714,0.02237496,0.03680497,2.488137844,,,,
1.452,-0.028534844,0.019655602,0.034649387,2.538404039,,,,
1.456,-0.027542886,0.016997664,0.032365586,2.588669475,,,,
1.46,-0.026251518,0.014431994,0.029957046,2.638934915,,,,
1.464,-0.024668381,0.011989048,0.027427474,2.689200605,,,,
1.468,-0.022804208,0.009698713,0.024780979,2.739464841,,,,
1.472,-0.020672685,0.007589733,0.022021897,2.789732257,,,,
1.476,-0.018290533,0.00568992,0.019155124,2.839996912,,,,
1.48,-0.015677098,0.004025188,0.016185596,2.890265604,,,,
1.484,-0.012854637,0.002620024,0.013118926,2.940527358,,,,
1.488,-0.009847763,0.001496365,0.0099608,2.990796445,,,,
1.492,-0.006683385,0.000674019,0.006717286,3.041082477,,,,
1.496,-0.003390532,0.000170604,0.003394821,3.091317295,,,,
1.5,-6.36156E-08,2.54492E-09,6.36665E-08,3.101609348,,,,
1.504,0.003455581,0.000173872,0.003459952,0.050273923,,,,
1.508,0.00694275,0.000700347,0.006977984,0.100534512,,,,
1.512,0.010426822,0.001584364,0.010546508,0.150797289,,,,
1.516,0.013872477,0.002827439,0.014157685,0.201062509,,,,
1.52,0.017244234,0.004427525,0.017803555,0.251325149,,,,
1.524,0.020506555,0.006378932,0.02147579,0.301579671,,,,
1.528,0.023623752,0.008673452,0.02516566,0.351870439,,,,
1.532,0.026562485,0.01129701,0.028864997,0.402124254,,,,
1.536,0.029288856,0.014234449,0.032564653,0.452386806,,,,
1.54,0.03177099,0.01746617,0.036255522,0.502652908,,,,
1.544,0.033978835,0.020969213,0.0399283,0.552916857,,,,
1.548,0.035884757,0.024717879,0.043573952,0.603178228,,,,
1.552,0.037462769,0.028683784,0.04718282,0.653449079,,,,
1.556,0.038690523,0.032834996,0.050745379,0.703714069,,,,
1.56,0.039547995,0.037137932,0.054251911,0.753980797,,,,
1.564,0.040018824,0.041556489,0.057692703,0.804245571,,,,
1.568,0.040089955,0.04605307,0.061058085,0.854511338,,,,
1.572,0.039752086,0.0505883,0.064338203,0.904776545,,,,
1.576,0.038999681,0.055121768,0.067523214,0.955042069,,,,
1.58,0.037831254,0.059612382,0.070603399,1.005308618,,,,
1.584,0.036249528,0.064018446,0.073568946,1.055573612,,,,
1.588,0.034261157,0.068298492,0.076410149,1.105838736,,,,
1.592,0.031877032,0.072411473,0.079117423,1.156104528,,,,
1.596,0.029112262,0.076316951,0.081681092,1.206369602,,,,
1.6,0.025985964,0.079976003,0.084091803,1.256634961,,,,
1.604,0.022521282,0.083351236,0.086340238,1.306900569,,,,
1.608,0.018745232,0.086407341,0.088417263,1.357166368,,,,
1.612,0.014688551,0.089111424,0.090313894,1.407431765,,,,
1.616,0.010385369,0.091433413,0.092021329,1.45769708,,,,
1.62,0.00587302,0.093346326,0.093530898,1.507962698,,,,
1.624,0.001191879,0.094826897,0.094834387,1.558227991,,,,
1.628,-0.003615196,0.095855357,0.095923506,1.608493574,,,,
1.632,-0.008503009,0.096416601,0.096790816,1.658759059,,,,
1.636,-0.013424562,0.096499055,0.097428366,1.709025154,,,,
1.64,-0.01833119,0.096096432,0.097829222,1.75929003,,,,
1.644,-0.023173474,0.095206666,0.097986321,1.809555344,,,,
1.648,-0.027901188,0.093832666,0.097893031,1.859820593,,,,
1.652,-0.032464154,0.091982493,0.097543326,1.910086474,,,,
1.656,-0.036812378,0.089668945,0.096931269,1.960352796,,,,
1.66,-0.040896577,0.086910023,0.096051456,2.010617642,,,,
1.664,-0.044669074,0.083728581,0.094898901,2.060882248,,,,
1.668,-0.04808388,0.080152055,0.093468772,2.11114837,,,,
1.672,-0.051097181,0.076213214,0.091757157,2.161413871,,,,
1.676,-0.053667949,0.071948901,0.089760198,2.21167955,,,,
1.68,-0.055758272,0.067400442,0.087474594,2.261944751,,,,
1.684,-0.05733401,0.062613195,0.084897591,2.312210305,,,,
1.688,-0.058364995,0.057636348,0.082026955,2.362475771,,,,
1.692,-0.058825304,0.052522275,0.078860674,2.412740933,,,,
1.696,-0.058693989,0.047326498,0.075397492,2.463006192,,,,
1.7,-0.057955186,0.042107076,0.071636649,2.513272218,,,,
