frequency,real,img,mag,phase
0.288,0.011673013,-0.010971319,0.016019646,-0.754420466
0.292,0.010023679,-0.00550984,0.011438202,-0.502599391
0.296,0.005800064,-0.00148984,0.005988353,-0.251430316
0.3,5.70E-07,5.10E-08,5.72E-07,0.08927727
0.304,-0.00596653,-0.001528399,0.006159179,-2.890822764
0.308,-0.01059738,-0.005825954,0.012093229,-2.638938217
0.312,-0.012700198,-0.011924273,0.017420773,-2.387694404
0.316,-0.011668608,-0.018384792,0.021775146,-2.136332024
0.32,-0.007681151,-0.02363776,0.024854452,-1.884985329
0.324,-0.001660318,-0.026374215,0.026426424,-1.633665688
0.328,0.004932932,-0.025881996,0.026347894,-1.382461943
0.332,0.010466707,-0.022243198,0.024582755,-1.130978787
0.336,0.013513454,-0.016336555,0.021201332,-0.879693885
0.34,0.013249522,-0.009626762,0.016377557,-0.628339297
0.344,0.009655341,-0.003823102,0.010384687,-0.377016333
0.348,0.003550669,-4.50E-04,0.003579036,-0.125987337
0.352,-0.003594299,-4.55E-04,0.003622941,-3.01576709
0.356,-0.010016356,-0.003967638,0.010773557,-2.764439113
0.36,-0.014079159,-0.010228317,0.017402333,-2.513310875
0.364,-0.014714599,-0.017784785,0.02308285,-2.262004973
0.368,-0.011677534,-0.024815228,0.027425541,-2.010631633
0.372,-0.00564489,-0.029586791,0.030120474,-1.759321486
0.376,0.001942497,-0.030894214,0.030955222,-1.508003226
0.38,0.009220341,-0.028376174,0.029836587,-1.256625486
0.384,0.014352637,-0.022619479,0.026788785,-1.005376495
0.388,0.016011167,-0.015035075,0.021963855,-0.753968592
0.392,0.01369506,-0.007528593,0.015628,-0.502636311
0.396,0.007895698,-0.002030874,0.008152699,-0.251755518
0.4,4.20E-07,-8.78E-06,8.79E-06,-1.523011981
0.404,-0.008068134,-0.002075366,0.008330782,-2.889820969
0.408,-0.014298855,-0.007857802,0.016315707,-2.639102187
0.412,-0.017085143,-0.016043326,0.023436946,-2.387631901
0.416,-0.015652745,-0.024665127,0.029212615,-2.136276637
0.42,-0.010276542,-0.031624922,0.033252715,-1.884983688
0.424,-0.002212166,-0.035188975,0.035258441,-1.633579032
0.428,0.006569768,-0.034439974,0.035060999,-1.382300999
0.432,0.013892211,-0.029524366,0.032629461,-1.130998343
0.436,0.017891333,-0.021616919,0.028060488,-0.879419076
0.44,0.017498667,-0.012711694,0.021628466,-0.628250011
0.444,0.012721652,-0.00503332,0.013681182,-0.376750617
0.448,0.00466772,-5.91E-04,0.004704931,-0.125851911
0.452,-0.004712707,-5.96E-04,0.004750211,-3.015850054
0.456,-0.013099241,-0.005186825,0.014088764,-2.764570614
0.46,-0.018379323,-0.013352486,0.022717579,-2.513305245
0.464,-0.019165742,-0.023168237,0.030068138,-2.261929023
0.468,-0.015184502,-0.032261273,0.035656119,-2.010708085
0.472,-0.007323028,-0.038387183,0.039079439,-1.759298945
0.476,0.002514792,-0.039994094,0.040073079,-1.507999911
0.48,0.011911794,-0.036662285,0.038548852,-1.25664951
0.484,0.018508251,-0.029165565,0.034542518,-1.005328686
0.488,0.02060539,-0.019355382,0.028270354,-0.754127494
0.492,0.017594322,-0.009675536,0.020079247,-0.50278468
0.496,0.010131727,-0.002601181,0.010460307,-0.251308477
0.5,5.54E-07,7.88E-08,5.59E-07,0.141369459
0.504,-0.010314695,-0.002649647,0.01064958,-2.890148486
0.508,-0.018241839,-0.010028875,0.020816893,-2.638923567
0.512,-0.021757352,-0.020431199,0.029846545,-2.387618085
0.516,-0.019902572,-0.031359199,0.037141778,-2.136315272
0.52,-0.013043344,-0.040142737,0.042208627,-1.884959605
0.524,-0.002805675,-0.044594982,0.044683154,-1.63362811
0.528,0.008313292,-0.043579659,0.044365499,-1.382300157
0.532,0.017551837,-0.037300676,0.04122387,-1.130984959
0.536,0.022569896,-0.027282657,0.035408241,-0.879652051
0.54,0.022040628,-0.016016317,0.027245398,-0.62840356
0.544,0.016001638,-0.006335817,0.017210317,-0.377008447
0.548,0.005860185,-7.42E-04,0.005906994,-0.125975804
0.552,-0.005911723,-7.47E-04,0.005958705,-3.01593553
0.556,-0.016413644,-0.006499669,0.017653708,-2.764546335
0.56,-0.022993618,-0.016707161,0.028422451,-2.513236578
0.564,-0.023948535,-0.028945144,0.037567988,-2.262008832
0.568,-0.018941034,-0.040253742,0.044487375,-2.010600198
0.572,-0.009124341,-0.047831827,0.048694325,-1.759290516
0.576,0.003132691,-0.049785914,0.049884376,-1.507955932
0.58,0.014809473,-0.045582072,0.047927505,-1.256657693
0.584,0.022984506,-0.036218309,0.042895843,-1.005316175
0.588,0.025558325,-0.024001835,0.035061604,-0.754002403
0.592,0.021799581,-0.011984626,0.024876756,-0.502662065
0.596,0.012538016,-0.003219483,0.012944764,-0.251347406
0.6,6.11E-07,5.15E-08,6.13E-07,0.084095585
0.604,-0.012738429,-0.003269656,0.013151358,-2.890340087
0.608,-0.02250623,-0.012371814,0.025682527,-2.63897504
0.612,-0.026814922,-0.025179568,0.036783837,-2.387636556
0.616,-0.024495744,-0.038617124,0.045730994,-2.136072003
0.62,-0.016040956,-0.049369663,0.051910267,-1.884951557
0.624,-0.003447224,-0.054795254,0.054903581,-1.633624521
0.628,0.01020466,-0.053495182,0.054459798,-1.382302426
0.632,0.021523493,-0.045743158,0.050553905,-1.131002053
0.636,0.027654365,-0.033428044,0.043384307,-0.879640929
0.64,0.026982301,-0.019603047,0.033351522,-0.628300523
0.644,0.019571542,-0.007749419,0.021049911,-0.377013088
0.648,0.007164397,-9.06E-04,0.007221401,-0.125731065
0.652,-0.00721772,-9.10E-04,0.007274873,-3.016161767
0.656,-0.020017657,-0.007925909,0.021529669,-2.764586071
0.66,-0.028022347,-0.020364232,0.03464035,-2.513161891
0.664,-0.029163901,-0.035261807,0.04575946,-2.261825426
0.668,-0.023052216,-0.048989309,0.054142008,-2.010612556
0.672,-0.01109849,-0.058172375,0.059221632,-1.759317027
0.676,0.003801224,-0.060493139,0.06061245,-1.508041561
0.68,0.017980609,-0.055342325,0.058189993,-1.25665672
0.684,0.027886526,-0.043943602,0.052045158,-1.005324771
0.688,0.030986431,-0.029101901,0.042509758,-0.754045773
0.692,0.026407794,-0.01451945,0.030136124,-0.502702574
0.696,0.015180314,-0.003897997,0.015672789,-0.251349318
0.7,4.95E-07,-3.02E-07,5.79E-07,-0.547779114
0.704,-0.015402219,-0.003952716,0.015901331,-2.890381098
0.708,-0.027196415,-0.014950546,0.031034881,-2.638960688
0.712,-0.032375597,-0.030408116,0.044416582,-2.387521691
0.716,-0.029567046,-0.046589786,0.055179873,-2.136287126
0.72,-0.019347229,-0.059541231,0.062605698,-1.884972454
0.724,-0.00415649,-0.066041674,0.066172344,-1.633650797
0.728,0.012290452,-0.064435145,0.065596823,-1.382318873
0.732,0.025912417,-0.055070458,0.060862211,-1.130999713
0.736,0.033271928,-0.040219602,0.052198061,-0.879655112
0.74,0.032443801,-0.023573383,0.040103673,-0.628350433
0.744,0.023519577,-0.009310928,0.025295531,-0.376949525
0.748,0.008605685,-0.001087121,0.008674079,-0.125660263
0.752,-0.008665463,-0.001094867,0.008734357,-3.015910256
0.756,-0.024023247,-0.009508255,0.025836472,-2.764717468
0.76,-0.033613758,-0.024420891,0.041548341,-2.513292303
0.764,-0.034961415,-0.042260839,0.05484778,-2.261949638
0.768,-0.027618329,-0.058688065,0.064861861,-2.010644716
0.772,-0.01328832,-0.069655512,0.070911704,-1.759303248
0.776,0.004554516,-0.072410135,0.072553231,-1.507980199
