frequency,real,img,mag,phase,,,,
1.45,-0.031015646,-0.031015449,0.043862608,-2.356197672,,,,
1.455,-0.030939366,-0.036225147,0.047639329,-2.277657349,,,,
1.46,-0.030090946,-0.041416487,0.051193656,-2.199116538,,,,
1.465,-0.028474665,-0.04646609,0.054496826,-2.120578307,,,,
1.47,-0.026118725,-0.051260606,0.057531187,-2.042037413,,,,
1.475,-0.023062606,-0.055677579,0.060265053,-1.963498431,,,,
1.48,-0.019368551,-0.059609622,0.062677331,-1.884958785,,,,
1.485,-0.015115142,-0.062958506,0.064747517,-1.80641791,,,,
1.49,-0.0103961,-0.065637344,0.066455548,-1.727878427,,,,
1.495,-0.005318413,-0.067574262,0.067783231,-1.649339131,,,,
1.5,-2.57551E-07,-0.068714588,0.068714588,-1.570800075,,,,
1.505,0.005431976,-0.069021837,0.069235254,-1.492258827,,,,
1.51,0.010846011,-0.068479919,0.069333508,-1.413718722,,,,
1.515,0.016107439,-0.067093121,0.06899954,-1.335179608,,,,
1.52,0.021082792,-0.064886655,0.068225817,-1.256639299,,,,
1.525,0.025642472,-0.061907006,0.067007565,-1.17810068,,,,
1.53,0.029664624,-0.058220472,0.065342278,-1.099559994,,,,
1.535,0.03303741,-0.053912557,0.063230011,-1.021020947,,,,
1.54,0.035663021,-0.049086236,0.060673797,-0.942480687,,,,
1.545,0.037459238,-0.04385941,0.057678786,-0.8639411,,,,
1.55,0.038362802,-0.038363074,0.054253387,-0.785401714,,,,
1.555,0.038330511,-0.032737556,0.050408091,-0.706861467,,,,
1.56,0.037341408,-0.027130365,0.046156662,-0.628322819,,,,
1.565,0.035397694,-0.021691765,0.041515412,-0.549779345,,,,
1.57,0.032523955,-0.016571951,0.036502565,-0.471243001,,,,
1.575,0.028769744,-0.01191697,0.031140205,-0.392703596,,,,
1.58,0.024205907,-0.007865108,0.025451638,-0.314164221,,,,
1.585,0.018925825,-0.004543697,0.019463608,-0.235619879,,,,
1.59,0.013042248,-0.002065747,0.01320483,-0.157083956,,,,
1.595,0.006685255,-0.000526171,0.00670593,-0.078544335,,,,
1.6,1.65485E-07,1.67868E-08,1.66335E-07,0.101093853,,,,
1.605,-0.006856593,-0.000539844,0.006877812,-3.063021189,,,,
1.61,-0.013719543,-0.002173081,0.013890577,-2.984504586,,,,
1.615,-0.020419895,-0.004902548,0.021000168,-2.905965578,,,,
1.62,-0.026787983,-0.008704247,0.028166646,-2.827423128,,,,
1.625,-0.03265772,-0.013527188,0.03534843,-2.74889573,,,,
1.63,-0.037870076,-0.019295078,0.042502267,-2.670368204,,,,
1.635,-0.042279788,-0.025908645,0.049586675,-2.59182154,,,,
1.64,-0.045755277,-0.033242829,0.056556441,-2.513278786,,,,
1.645,-0.048184807,-0.041153394,0.063367006,-2.434738138,,,,
1.65,-0.049479017,-0.049478721,0.069973688,-2.356197477,,,,
1.655,-0.049573595,-0.058042941,0.076331674,-2.277657067,,,,
1.66,-0.048431348,-0.066659707,0.082396068,-2.199117173,,,,
1.665,-0.046044111,-0.075136788,0.088122625,-2.120577246,,,,
1.67,-0.042433637,-0.083280091,0.093467572,-2.042038188,,,,
1.675,-0.037651719,-0.090898602,0.098388047,-1.963498082,,,,
1.68,-0.031780279,-0.097808872,0.102842411,-1.884957909,,,,
1.685,-0.024930203,-0.103839446,0.106790194,-1.806420849,,,,
1.69,-0.017238126,-0.108835526,0.110192217,-1.727878396,,,,
1.695,-0.008867091,-0.112663245,0.113011646,-1.649338805,,,,
1.7,-3.41022E-07,-0.115213058,0.115213058,-1.570799287,,,,
1.705,0.009160903,-0.11640381,0.116763732,-1.492258859,,,,
1.71,0.018401589,-0.116184778,0.117632993,-1.413718978,,,,
1.715,0.027497858,-0.114537962,0.117792516,-1.33517914,,,,
1.72,0.036221866,-0.111480338,0.117217274,-1.256639429,,,,
1.725,0.044346829,-0.107063472,0.115884547,-1.178099743,,,,
1.73,0.051652624,-0.101374744,0.113775359,-1.09956047,,,,
1.735,0.057930779,-0.094535012,0.110873097,-1.02102031,,,,
1.74,0.062989863,-0.086698481,0.107165057,-0.94247984,,,,
1.745,0.066660454,-0.078049676,0.102641941,-0.863939954,,,,
1.75,0.068799476,-0.068799899,0.097297451,-0.785401238,,,,
