frequency,real,img,mag,phase,,
0.832,8.83E-03,1.47E-02,1.72E-02,2.58E-01,,
0.836,8.37E-03,1.57E-02,1.78E-02,2.70E-01,,
0.84,7.82E-03,1.66E-02,1.84E-02,2.83E-01,,
0.844,7.18E-03,1.75E-02,1.89E-02,2.95E-01,,
0.848,6.46E-03,1.83E-02,1.94E-02,3.08E-01,,
0.852,5.66E-03,1.90E-02,1.98E-02,3.20E-01,,
0.856,4.79E-03,1.97E-02,2.03E-02,3.33E-01,,
0.86,3.86E-03,2.03E-02,2.06E-02,3.46E-01,,
0.864,2.88E-03,2.07E-02,2.09E-02,3.58E-01,,
0.868,1.86E-03,2.11E-02,2.12E-02,3.71E-01,,
0.872,8.06E-04,2.14E-02,2.14E-02,3.83E-01,,
0.876,-2.71E-04,2.16E-02,2.16E-02,3.96E-01,,
0.88,-1.36E-03,2.16E-02,2.17E-02,4.08E-01,,
0.884,-2.45E-03,2.16E-02,2.17E-02,4.21E-01,,
0.888,-3.53E-03,2.14E-02,2.17E-02,4.34E-01,,
0.892,-4.59E-03,2.12E-02,2.16E-02,4.46E-01,,
0.896,-5.62E-03,2.08E-02,2.15E-02,4.59E-01,,
0.9,-6.60E-03,2.03E-02,2.14E-02,4.71E-01,,
0.904,-7.53E-03,1.97E-02,2.11E-02,4.84E-01,,
0.908,-8.39E-03,1.91E-02,2.08E-02,4.96E-01,,
0.912,-9.18E-03,1.83E-02,2.05E-02,5.09E-01,,
0.916,-9.89E-03,1.75E-02,2.01E-02,5.22E-01,,
0.92,-1.05E-02,1.65E-02,1.96E-02,5.34E-01,,
0.924,-1.10E-02,1.56E-02,1.91E-02,5.47E-01,,
0.928,-1.14E-02,1.45E-02,1.85E-02,5.59E-01,,
0.932,-1.17E-02,1.35E-02,1.79E-02,5.72E-01,,
0.936,-1.19E-02,1.24E-02,1.72E-02,5.84E-01,,
0.94,-1.20E-02,1.12E-02,1.64E-02,5.97E-01,,
0.944,-1.19E-02,1.01E-02,1.56E-02,6.09E-01,,
0.948,-1.17E-02,8.99E-03,1.48E-02,6.22E-01,,
0.952,-1.14E-02,7.88E-03,1.39E-02,6.35E-01,,
0.956,-1.10E-02,6.80E-03,1.29E-02,6.47E-01,,
0.96,-1.05E-02,5.76E-03,1.20E-02,6.60E-01,,
0.964,-9.82E-03,4.77E-03,1.09E-02,6.72E-01,,
0.968,-9.06E-03,3.85E-03,9.84E-03,6.85E-01,,
0.972,-8.19E-03,3.01E-03,8.73E-03,6.97E-01,,
0.976,-7.23E-03,2.25E-03,7.57E-03,7.10E-01,,
0.98,-6.18E-03,1.59E-03,6.38E-03,7.23E-01,,
0.984,-5.05E-03,1.03E-03,5.16E-03,7.35E-01,,
0.988,-3.86E-03,5.87E-04,3.91E-03,7.48E-01,,
0.992,-2.61E-03,2.64E-04,2.63E-03,7.60E-01,,
0.996,-1.32E-03,6.65E-05,1.32E-03,7.73E-01,,
1,-2.76E-08,-3.65E-09,2.78E-08,-7.53E-01,,
1.004,1.34E-03,6.74E-05,1.34E-03,1.26E-02,,
1.008,2.68E-03,2.71E-04,2.70E-03,2.51E-02,,
1.012,4.02E-03,6.11E-04,4.07E-03,3.77E-02,,
1.016,5.33E-03,1.09E-03,5.44E-03,5.03E-02,,
1.02,6.61E-03,1.70E-03,6.82E-03,6.28E-02,,
1.024,7.83E-03,2.44E-03,8.20E-03,7.54E-02,,
1.028,8.99E-03,3.30E-03,9.58E-03,8.80E-02,,
1.032,1.01E-02,4.29E-03,1.10E-02,1.01E-01,,
1.036,1.11E-02,5.38E-03,1.23E-02,1.13E-01,,
1.04,1.20E-02,6.58E-03,1.37E-02,1.26E-01,,
1.044,1.28E-02,7.87E-03,1.50E-02,1.38E-01,,
1.048,1.34E-02,9.25E-03,1.63E-02,1.51E-01,,
1.052,1.40E-02,1.07E-02,1.76E-02,1.63E-01,,
1.056,1.44E-02,1.22E-02,1.88E-02,1.76E-01,,
1.06,1.46E-02,1.37E-02,2.01E-02,1.88E-01,,
1.064,1.48E-02,1.53E-02,2.13E-02,2.01E-01,,
1.068,1.47E-02,1.69E-02,2.24E-02,2.14E-01,,
1.072,1.45E-02,1.85E-02,2.35E-02,2.26E-01,,
1.076,1.42E-02,2.01E-02,2.46E-02,2.39E-01,,
1.08,1.37E-02,2.16E-02,2.56E-02,2.51E-01,,
1.084,1.31E-02,2.31E-02,2.66E-02,2.64E-01,,
1.088,1.23E-02,2.46E-02,2.75E-02,2.76E-01,,
1.092,1.14E-02,2.59E-02,2.83E-02,2.89E-01,,
1.096,1.04E-02,2.72E-02,2.91E-02,3.02E-01,,
1.1,9.22E-03,2.84E-02,2.98E-02,3.14E-01,,
